rank,business_name,legal_name_on_license,tier,research_batch,fit_percent,cslb_license,license_status,entity,classifications,issue_date,expire_date,bond_carrier,bond_amount,bond_cancellation,workers_comp,cslb_address,cslb_phone,published_phone,sf_plumbing_permits,website,snake_shower,tub_overflow_access,non_destructive,prewar_galvanized,camera_inspection,weekend_emergency,flag_count,critical_flags,cslb_source_url,raw_capture
46,Gagne Brothers Plumbing (Benjamin Franklin Plumbing),GAGNE BROTHERS ENTERPRISES INC,viable,2026-09-04-expansion-50,0,857357,active,Corporation,A - GENERAL ENGINEERING ; C36 - PLUMBING,04/14/2005,04/30/2027,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"dba BENJAMIN FRANKLIN PLUMBING / 22 DIGITAL DRIVE STE ONE / NOVATO, CA 94949",(415) 763-4002,(415) 763-4002,1275,,unknown,unknown,unknown,unknown,unknown,unknown,0,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=857357,data/raw/cslb-857357.txt
47,Nigel Mulgrew Plumbing,NIGEL MULGREW PLUMBING INC,viable,,0,746000,active,Corporation,C36 - PLUMBING,02/18/1998,09/30/2026,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"1127 PALMETTO AVE / PACIFICA, CA 94044",(650) 557-0285,(650) 557-0285,1203,https://nigelmulgrewplumbing.com/,unknown,unknown,unknown,unknown,unknown,unknown,3,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=746000,data/raw/cslb-746000.txt
48,J E Brown Company Mechanical Contractors,J E BROWN COMPANY MECHANICAL CONTRACTORS,viable,2026-09-04-expansion-50-b5,0,658273,active,Corporation,"C-4 - BOILER, HOT WATER HEATING AND STEAM FITTING; C16 - FIRE PROTECTION; C36 - PLUMBING; C-61 / D12 - SYNTHETIC PRODUCTS",11/10/1992,11/30/2026,WESTERN SURETY COMPANY,"$25,000",,insured,"78 SHOTWELL STREET / SAN FRANCISCO, CA 94103",(415) 626-4044,(415) 626-4044,1178,,unknown,unknown,unknown,unknown,unknown,unknown,0,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=658273,data/raw/cslb-658273.txt
49,Lei's Construction Company,LEI'S CONSTRUCTION COMPANY,viable,2026-09-04-expansion-50-b5,0,593386,active,Sole Ownership,B - GENERAL BUILDING; C36 - PLUMBING; C10 - ELECTRICAL,05/10/1990,05/31/2028,ATLANTIC SPECIALTY INSURANCE COMPANY,"$25,000",,insured,"616 ROLPH STREET / SAN FRANCISCO, CA 94112",(415) 531-8611,(415) 531-8611,1098,,unknown,unknown,unknown,unknown,unknown,unknown,0,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=593386,data/raw/cslb-593386.txt
50,Renstrom Plumbing & Heating Inc,RENSTROM PLUMBING & HEATING INC,viable,2026-09-04-expansion-50-b4,0,556995,active,Corporation,"C20 - WARM-AIR HEATING, VENTILATING AND AIR-CONDITIONING; C36 - PLUMBING",02/14/1989,03/31/2027,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"600 AMADOR SUITE 1 / SAN FRANCISCO, CA 94124",(415) 282-9370,(415) 282-9370,1063,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=556995,data/raw/cslb-556995.txt
51,A Plumbing,A PLUMBING,viable,2026-09-04-expansion-50-b4,0,751295,active,Sole Ownership,C36 - PLUMBING,07/02/1998,07/31/2028,BUSINESS ALLIANCE INSURANCE COMPANY,"$25,000",,exempt,"136 ALPHA ST / SAN FRANCISCO, CA 94134",(415) 336-5098,(415) 336-5098,1019,,unknown,unknown,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=751295,data/raw/cslb-751295.txt
52,D & S Leong Associates Inc,D & S LEONG ASSOCIATES INC,viable,2026-09-04-expansion-50-b5,0,618294,active,Corporation,"B - GENERAL BUILDING; C16 - FIRE PROTECTION; C36 - PLUMBING; C-4 - BOILER, HOT WATER HEATING AND STEAM FITTING",04/23/1991,04/30/2027,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"1660 JERROLD AVE #B / SAN FRANCISCO, CA 94124",(415) 221-3838,(415) 221-3838,1015,,unknown,unknown,unknown,unknown,unknown,unknown,0,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=618294,data/raw/cslb-618294.txt
53,National Plumbing,NATIONAL PLUMBING,viable,2026-09-04-expansion-50,0,619642,active,Sole Ownership,C36 - PLUMBING,05/18/1991,05/31/2027,WESTERN SURETY COMPANY,"$25,000",,insured,"1472 24TH AVENUE / SAN FRANCISCO, CA 94122",(415) 310-4928,(415) 310-4928,1010,,unknown,unknown,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=619642,data/raw/cslb-619642.txt
54,Skaates Canepa Inc,SKAATES CANEPA INC,viable,2026-09-04-expansion-50-b5,0,535236,active,Corporation,"C36 - PLUMBING; C-4 - BOILER, HOT WATER HEATING AND STEAM FITTING",07/15/1988,07/31/2028,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"1461 ROLLINS ROAD / BURLINGAME, CA 94010",(650) 347-1794,(650) 347-1794,958,,unknown,unknown,unknown,unknown,unknown,unknown,0,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=535236,data/raw/cslb-535236.txt
55,Garibaldi Plumbing Co Inc.,GARIBALDI PLUMBING COMPANY INC,viable,2026-09-04-expansion-50,0,492385,active,Corporation,A - GENERAL ENGINEERING ; C16 - FIRE PROTECTION ; C36 - PLUMBING,05/27/1986,08/31/2028,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"565 CRAIG ROAD / BURLINGAME, CA 94010-6707",(650) 340-7001,(650) 340-7001,937,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=492385,data/raw/cslb-492385.txt
56,City Mechanical Inc,CITY MECHANICAL INC,viable,2026-09-04-expansion-50-b5,0,622065,active,Corporation,"C20 - WARM-AIR HEATING, VENTILATING AND AIR-CONDITIONING; C-4 - BOILER, HOT WATER HEATING AND STEAM FITTING; C38 - REFRIGERATION; C36 - PLUMBING",06/20/1991,06/30/2027,WESTERN SURETY COMPANY,"$25,000",,insured,"724 ALFRED NOBEL DRIVE / HERCULES, CA 94547",(510) 724-9088,(510) 724-9088,870,,unknown,unknown,unknown,unknown,unknown,unknown,0,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=622065,data/raw/cslb-622065.txt
57,Stephen Fitzsimon,STEPHEN FITZSIMON,viable,2026-09-04-expansion-50-b5,0,618005,active,Sole Ownership,C36 - PLUMBING,04/17/1991,04/30/2027,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"226 MONTE VISTA AVE / LARKSPUR, CA 94939",(415) 309-7095,(415) 309-7095,819,,unknown,unknown,unknown,unknown,unknown,unknown,0,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=618005,data/raw/cslb-618005.txt
58,Dunne Plumbing,DUNNE PLUMBING,viable,2026-09-04-expansion-50,0,690001,active,Sole Ownership,C36 - PLUMBING,06/08/1994,06/30/2028,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,exempt,"PO BOX 117085 / BURLINGAME, CA 94011",(415) 828-0141,(415) 828-0141,762,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=690001,data/raw/cslb-690001.txt
59,"Cabrillo Plumbing, Heating & Air",TWO GUYS PLUMBING INC,viable,,0,629538,active,Corporation,"C36 - PLUMBING ; C20 - WARM-AIR HEATING, VENTILATING AND AIR-CONDITIONING",09/24/1991,09/30/2027,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"DBA CABRILLO PLUMBING & HEATING / 78 DORMAN AVE / SAN FRANCISCO, CA 94124",(415) 821-0560,(415) 821-0560,753,https://discovercabrillo.com/,unknown,unknown,unknown,unknown,unknown,unknown,3,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=629538,data/raw/cslb-629538.txt
60,Argyris Plumbing,ARGYRIS PLUMBING,viable,2026-09-04-expansion-50,0,280249,active,Sole Ownership,C36 - PLUMBING,11/17/1972,12/31/2027,ATLANTIC SPECIALTY INSURANCE COMPANY,"$25,000",,exempt,"2626 BELMONT CANYON ROAD / BELMONT, CA 94002",(415) 260-9324,(415) 260-9324,743,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=280249,data/raw/cslb-280249.txt
61,Bellanti Plumbing Inc.,BELLANTI PLUMBING INC,viable,2026-09-04-expansion-50,0,327664,active,Corporation,"C-4 - BOILER, HOT WATER HEATING AND STEAM FITTING ; C36 - PLUMBING ; C16 - FIRE PROTECTION",11/05/1976,04/30/2027,WESTERN SURETY COMPANY,"$25,000",,insured,"121 SOUTH MAPLE AVENUE #10 / SO SAN FRANCISCO, CA 94080",(650) 588-2990,(650) 588-2990,716,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=327664,data/raw/cslb-327664.txt
62,Occidental Express,OCCIDENTAL EXPRESS,viable,2026-09-04-expansion-50-b5,0,319153,active,Sole Ownership,B - GENERAL BUILDING; C10 - ELECTRICAL; C36 - PLUMBING,05/13/1976,01/31/2028,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,exempt,"1019 HOWARD STREET / SAN FRANCISCO, CA 94103-2806",(415) 420-8113,(415) 420-8113,699,,unknown,unknown,unknown,unknown,unknown,unknown,0,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=319153,data/raw/cslb-319153.txt
63,Bacon Plumbing Co Inc.,BACON PLUMBING CO INC,viable,2026-09-04-expansion-50,0,728650,active,Corporation,"C36 - PLUMBING ; C16 - FIRE PROTECTION ; C42 - SANITATION SYSTEM ; C-4 - BOILER, HOT WATER HEATING AND STEAM FITTING",10/16/1996,10/31/2026,,,,insured,"1698 HUDSON AVENUE / SAN FRANCISCO, CA 94124",(628) 867-7575,(628) 867-7575,680,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=728650,data/raw/cslb-728650.txt
64,Incom Mechanical Inc,INCOM MECHANICAL INC,viable,2026-09-04-expansion-50-b5,0,517617,active,Corporation,"B - GENERAL BUILDING; C-4 - BOILER, HOT WATER HEATING AND STEAM FITTING; C16 - FIRE PROTECTION; C36 - PLUMBING",09/14/1987,09/30/2027,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"975 TRANSPORT WAY_SUITE 5 / PETALUMA, CA 94954",(707) 586-0511,(707) 586-0511,677,,unknown,unknown,unknown,unknown,unknown,unknown,0,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=517617,data/raw/cslb-517617.txt
65,C R Reichel Engineering Co Inc,C R REICHEL ENGINEERING CO INC,viable,2026-09-04-expansion-50-b5,0,169169,active,Corporation,"C-4 - BOILER, HOT WATER HEATING AND STEAM FITTING; C10 - ELECTRICAL; C20 - WARM-AIR HEATING, VENTILATING AND AIR-CONDITIONING; C34 - PIPELINE; C36 - PLUMBING; C42 - SANITATION SYSTEM; C16 - FIRE PROTECTION",07/10/1957,05/31/2027,OHIO CASUALTY INSURANCE COMPANY (THE),"$25,000",,insured,"718 NATOMA STREET / SAN FRANCISCO, CA 94103",(415) 431-7100,(415) 431-7100,671,,unknown,unknown,unknown,unknown,unknown,unknown,0,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=169169,data/raw/cslb-169169.txt
66,O'Donovan Plumbing Inc.,O'DONOVAN PLUMBING INC,viable,2026-09-04-expansion-50,0,582534,active,Corporation,C16 - FIRE PROTECTION ; C36 - PLUMBING,12/08/1989,07/31/2028,,,,insured,"1825 15TH AVENUE / SAN FRANCISCO, CA 94122",(415) 425-7322,(415) 425-7322,671,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=582534,data/raw/cslb-582534.txt
67,Prompt Plumbing Services,PROMPT PLUMBING SERVICES,viable,2026-09-04-expansion-50,0,818560,active,Sole Ownership,C36 - PLUMBING,04/04/2003,03/31/2027,,,,insured,"239 CHRISTINE DRIVE / SAN PABLO, CA 94806",(415) 786-3114,(415) 786-3114,667,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=818560,data/raw/cslb-818560.txt
68,Earthquake Enterprises Inc,EARTHQUAKE ENTERPRISES INC,viable,2026-09-04-expansion-50-b5,0,664033,active,Corporation,"B - GENERAL BUILDING; C36 - PLUMBING; C10 - ELECTRICAL; C-4 - BOILER, HOT WATER HEATING AND STEAM FITTING; C16 - FIRE PROTECTION",02/01/1993,02/28/2027,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"dba HETHERINGTON GENERAL & PLUMBING CONTRACTOR / 4200 CALIFORNIA STREET STE 111 / SAN FRANCISCO, CA 94118",(415) 750-9595,(415) 750-9595,665,,unknown,unknown,unknown,unknown,unknown,unknown,0,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=664033,data/raw/cslb-664033.txt
69,West Cork Plumbing Inc.,WEST CORK PLUMBING INC,viable,2026-09-04-expansion-50,0,900309,active,Corporation,C36 - PLUMBING,07/17/2007,08/31/2027,,,,insured,"20 ROY CT / NOVATO, CA 94947",(415) 845-3870,(415) 845-3870,641,,unknown,unknown,unknown,unknown,unknown,unknown,0,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=900309,data/raw/cslb-900309.txt
70,Gotelli Plumbing Inc.,GOTELLI PLUMBING INC,viable,2026-09-04-expansion-50,0,284740,active,Corporation,"C36 - PLUMBING ; C-4 - BOILER, HOT WATER HEATING AND STEAM FITTING",06/18/1973,11/30/2026,,,,insured,"200 VALLEY DRIVE #38 / BRISBANE, CA 94005",(415) 467-6600,(415) 467-6600,625,,unknown,unknown,unknown,unknown,unknown,unknown,0,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=284740,data/raw/cslb-284740.txt
71,Hegarty Plumbing,HEGARTY PLUMBING,viable,2026-09-04-expansion-50,0,820321,active,Sole Ownership,C36 - PLUMBING,06/02/2003,06/30/2027,,,,insured,"P O BOX 27326 / SAN FRANCISCO, CA 94127",(415) 532-9255,(415) 532-9255,624,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=820321,data/raw/cslb-820321.txt
72,Alliance Plumbing Works Inc.,ALLIANCE PLUMBING WORKS INC,viable,2026-09-04-expansion-50,0,884462,active,Corporation,B - GENERAL BUILDING ; C36 - PLUMBING,09/19/2006,09/30/2028,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"522 40TH AVENUE / SAN FRANCISCO, CA 94121",(415) 850-5022,(415) 850-5022,615,,unknown,unknown,unknown,unknown,unknown,unknown,0,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=884462,data/raw/cslb-884462.txt
73,Duggan Plumbing Inc.,DUGGAN PLUMBING INC,viable,2026-09-04-expansion-50,0,760600,active,Corporation,C36 - PLUMBING,03/18/1999,04/30/2027,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"95 OAKRIDGE DRIVE / DALY CITY, CA 94014",(415) 260-7500,(415) 260-7500,570,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=760600,data/raw/cslb-760600.txt
74,Gary Chan Plumbing,GARY CHAN PLUMBING,viable,2026-09-04-expansion-50,0,596143,active,Sole Ownership,C16 - FIRE PROTECTION ; C36 - PLUMBING,06/13/1990,06/30/2028,WESTERN SURETY COMPANY,"$25,000",,exempt,"268 ONONDAGA AVE / SAN FRANCISCO, CA 94112",(415) 298-9332,(415) 298-9332,556,,unknown,unknown,unknown,unknown,unknown,unknown,0,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=596143,data/raw/cslb-596143.txt
75,Joe Watterson Plumbing,JOE WATTERSON PLUMBING,viable,2026-09-04-expansion-50-b4,0,723992,active,Sole Ownership,C36 - PLUMBING,06/14/1996,06/30/2028,PHILADELPHIA INDEMNITY INSURANCE COMPANY,"$25,000",,exempt,"3653 FOLSOM STREET / SAN FRANCISCO, CA 94110",(415) 525-0132,(415) 525-0132,526,,unknown,unknown,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=723992,data/raw/cslb-723992.txt
76,Golden State Plumbing,GOLDEN STATE PLUMBING,viable,2026-09-04-expansion-50,0,616148,active,Sole Ownership,C36 - PLUMBING ; C16 - FIRE PROTECTION ; B - GENERAL BUILDING,03/23/1991,03/31/2027,PLATTE RIVER INSURANCE COMPANY,"$25,000",,insured,"2323 CLEMENT / SAN FRANCISCO, CA 94121",(415) 531-1833,(415) 531-1833,525,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=616148,data/raw/cslb-616148.txt
77,Sunny's Plumbing Inc.,SUNNY'S PLUMBING INC,viable,2026-09-04-expansion-50,0,536715,active,Corporation,C16 - FIRE PROTECTION ; C36 - PLUMBING,07/29/1988,07/31/2028,MERCHANTS BONDING COMPANY (MUTUAL),"$25,000",,exempt,"1786 35TH AVENUE / SAN FRANCISCO, CA 94122",(415) 716-3817,(415) 716-3817,513,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=536715,data/raw/cslb-536715.txt
78,Brosnan Plumbing,BROSNAN PLUMBING,viable,2026-09-04-expansion-50,0,718576,active,Sole Ownership,C36 - PLUMBING,02/06/1996,02/29/2028,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,exempt,"973 SHOTWELL STREET / SAN FRANCISCO, CA 94110",(415) 810-2031,(415) 810-2031,494,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=718576,data/raw/cslb-718576.txt
79,Sewer Rat Plumbing Inc.,SEWER RAT PLUMBING INC,viable,2026-09-04-expansion-50,0,592813,active,Corporation,C36 - PLUMBING ; A - GENERAL ENGINEERING,04/27/1990,05/31/2028,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"P O BOX 1613 / PACIFICA, CA 94044",(650) 343-7575,(650) 343-7575,322,,unknown,unknown,unknown,unknown,unknown,unknown,0,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=592813,data/raw/cslb-592813.txt
80,All Rooter & Plumbing Service Inc,ALL ROOTER & PLUMBING SERVICE INC,viable,2026-09-04-expansion-50-b4,0,970605,active,Corporation,C36 - PLUMBING,03/06/2012,03/31/2028,ATLANTIC SPECIALTY INSURANCE COMPANY,"$25,000",,insured,"238 OCEAN AVENUE / SAN FRANCISCO, CA 94112",(415) 282-8289,(415) 282-8289,319,,unknown,unknown,unknown,unknown,unknown,unknown,0,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=970605,data/raw/cslb-970605.txt
81,Deng's Plumbing Inc,DENG'S PLUMBING INC,viable,2026-09-04-expansion-50-b4,0,636742,active,Corporation,C36 - PLUMBING,01/25/1992,04/30/2028,WESTERN SURETY COMPANY,"$25,000",,insured,"206 GENEBERN WAY / SAN FRANCISCO, CA 94112",(415) 334-7005,(415) 334-7005,317,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=636742,data/raw/cslb-636742.txt
82,Daniel Larratt Plumbing Inc,DANIEL LARRATT PLUMBING INC,viable,2026-09-04-expansion-50-b4,0,765695,active,Corporation,C36 - PLUMBING,07/13/1999,08/31/2028,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"944 TERMINAL WAY / SAN CARLOS, CA 94070",(650) 551-1200,(650) 551-1200,316,,unknown,unknown,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=765695,data/raw/cslb-765695.txt
83,Kiwi Plumbing Inc,KIWI PLUMBING INC,viable,2026-09-04-expansion-50-b4,0,489648,active,Corporation,C36 - PLUMBING,04/10/1986,05/31/2027,ATLANTIC SPECIALTY INSURANCE COMPANY,"$25,000",,insured,"71 B LIBERTY SHIP WAY / SAUSALITO, CA 94965",(415) 518-8066,(415) 518-8066,314,,unknown,unknown,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=489648,data/raw/cslb-489648.txt
84,CJ Plumbing Inc,CJ PLUMBING INC,viable,2026-09-04-expansion-50-b4,0,1039082,active,Corporation,C16 - FIRE PROTECTION; C36 - PLUMBING,05/08/2018,05/31/2028,ATLANTIC SPECIALTY INSURANCE COMPANY,"$25,000",,insured,"1510 EUCALYPTUS DR / SAN FRANCISCO, CA 94132",(415) 254-6213,(415) 254-6213,312,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=1039082,data/raw/cslb-1039082.txt
85,A & A Plumbing,A & A PLUMBING,viable,2026-09-04-expansion-50-b4,0,685266,active,Sole Ownership,C36 - PLUMBING,03/14/1994,03/31/2028,JET INSURANCE COMPANY,"$25,000",,exempt,"47 GRANADA AVENUE / SAN FRANCISCO, CA 94112",(415) 672-1640,(415) 672-1640,310,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=685266,data/raw/cslb-685266.txt
86,Hillside Plumbing Company Inc,HILLSIDE PLUMBING COMPANY INC,viable,2026-09-04-expansion-50-b4,0,860119,active,Corporation,C36 - PLUMBING,06/08/2005,06/30/2027,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"P O BOX 7032 / SAN MATEO, CA 94403",(650) 773-2174,(650) 773-2174,294,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=860119,data/raw/cslb-860119.txt
87,J M Pacific Bay Plumbing Inc,J M PACIFIC BAY PLUMBING INC,viable,2026-09-04-expansion-50-b4,0,998725,active,Corporation,C36 - PLUMBING,11/19/2014,11/30/2026,ATLANTIC SPECIALTY INSURANCE COMPANY,"$25,000",,insured,"1555 YOSEMITE AVENUE SUITE 17 / SAN FRANCISCO, CA 94134",(415) 928-9826,(415) 928-9826,290,,unknown,unknown,unknown,unknown,unknown,unknown,0,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=998725,data/raw/cslb-998725.txt
88,Precise Plumbing,PRECISE PLUMBING,viable,2026-09-04-expansion-50-b4,0,961915,active,Sole Ownership,C36 - PLUMBING,06/08/2011,06/30/2027,BUSINESS ALLIANCE INSURANCE COMPANY,"$25,000",,exempt,"1279 139TH AVE / SAN LEANDRO, CA 94578",(415) 823-3795,(415) 823-3795,285,,unknown,unknown,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=961915,data/raw/cslb-961915.txt
89,Prontito Plumbing,PRONTITO PLUMBING,viable,2026-09-04-expansion-50-b4,0,366870,active,Sole Ownership,C36 - PLUMBING,12/06/1978,12/31/2026,JET INSURANCE COMPANY,"$25,000",,exempt,"48 OCEAN AVENUE / SAN FRANCISCO, CA 94112",(415) 894-7399,(415) 894-7399,283,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=366870,data/raw/cslb-366870.txt
90,North Star Plumbing & Fire Protection Inc,NORTH STAR PLUMBING & FIRE PROTECTION INC,viable,2026-09-04-expansion-50-b4,0,1031709,active,Corporation,C36 - PLUMBING; C16 - FIRE PROTECTION,10/06/2017,10/31/2027,MERCHANTS BONDING COMPANY (MUTUAL),"$25,000",,insured,"1485 BAYSHORE BLVD MB 111 / SAN FRANCISCO, CA 94124",(415) 519-0710,(415) 519-0710,282,,unknown,unknown,unknown,unknown,unknown,unknown,0,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=1031709,data/raw/cslb-1031709.txt
91,Steven Harris Glorit Plumbing Contractor,STEVEN HARRIS GLORIT PLUMBING CONTRACTOR,viable,2026-09-04-expansion-50-b4,0,430548,active,Sole Ownership,C36 - PLUMBING,10/25/1982,10/31/2026,PHILADELPHIA INDEMNITY INSURANCE COMPANY,"$25,000",,insured,"220 CYPRESS AVE #247 / SOUTH SAN FRANCISCO, CA 94080",(650) 271-3244,(650) 271-3244,280,,unknown,unknown,unknown,unknown,unknown,unknown,0,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=430548,data/raw/cslb-430548.txt
92,A G Quality Plumbing,A G QUALITY PLUMBING,viable,,0,828200,active,Corporation,C36 - PLUMBING ; C16 - FIRE PROTECTION,12/08/2003,09/30/2027,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"1019 A SOUTH VAN NESS AVE / SAN FRANCISCO, CA 94110",(415) 824-2517,(415) 824-2517,229,https://www.agqualityplumbing.com/,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=828200,data/raw/cslb-828200.txt
93,Citywide Plumbing,CW PLUMBING INC,viable,,0,954385,active,Corporation,C36 - PLUMBING,11/08/2010,07/31/2028,ATLANTIC SPECIALTY INSURANCE COMPANY,"$25,000",,exempt,"dba CITYWIDE PLUMBING / 244 DENNIS DR / DALY CITY, CA 94015",(415) 716-1519,(415) 716-1519,143,,unknown,unknown,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=954385,data/raw/cslb-954385.txt
