rank,business_name,legal_name_on_license,tier,research_batch,fit_percent,cslb_license,license_status,entity,classifications,issue_date,expire_date,bond_carrier,bond_amount,bond_cancellation,workers_comp,cslb_address,cslb_phone,published_phone,sf_plumbing_permits,website,snake_shower,tub_overflow_access,non_destructive,prewar_galvanized,camera_inspection,weekend_emergency,flag_count,critical_flags,cslb_source_url,raw_capture
47,In & Out Plumbing & Construction,IN & OUT PLUMBING AND CONSTRUCTION INC,conditional,2026-09-04-expansion-20,33,878184,active,Corporation,A - GENERAL ENGINEERING; B - GENERAL BUILDING; C36 - PLUMBING,05/22/2006,11/30/2026,MERCHANTS BONDING COMPANY (MUTUAL),"$25,000",,insured,"184 HARBOR WAY / SOUTH SAN FRANCISCO, CA 94080",(650) 589-4855,(650) 589-4855,,https://www.inandoutplumbing.com/,advertised,advertised,unknown,unknown,unknown,unknown,3,CSLB complaint disclosure exists,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=878184,data/raw/cslb-878184.txt
48,Red Wrench Plumbing,RED WRENCH PLUMBING INC,conditional,,17,966458,active,Corporation,C36 - PLUMBING,10/07/2011,10/31/2027,ATLANTIC SPECIALTY INSURANCE COMPANY,"$25,000",,insured,"622 PRECITA AVENUE / SAN FRANCISCO, CA 94110",(415) 424-0799,(415) 424-0799,125,https://www.redwrenchplumbing.com/,no-evidence,advertised,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=966458,data/raw/cslb-966458.txt
49,Hydro Plumbing & Rooter Inc.,HYDRO PLUMBING & ROOTER INC,conditional,2026-09-04-expansion-20,17,922974,active,Corporation,C36 - PLUMBING,09/30/2008,07/31/2027,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"3450 3RD ST STE 3E / SAN FRANCISCO, CA 94124",(415) 320-7660,(415) 320-7660,5,https://hydroplumbingrooter.com/,advertised,no-evidence,unknown,unknown,unknown,unknown,3,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=922974,data/raw/cslb-922974.txt
50,Infinity Plumbing & Rooter,INFINITY PLUMBING & ROOTER INC,conditional,2026-09-04-expansion-20,17,1047052,active,Corporation,C36 - PLUMBING,11/20/2018,10/31/2027,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"945 TARAVAL STREET #358 / SAN FRANCISCO, CA 94116",(415) 730-3182,(415) 730-3182,,https://sanfranciscoplumbingrepair.com/,no-evidence,advertised,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=1047052,data/raw/cslb-1047052.txt
51,Smelly Mel's Plumbing,SMELLY MEL'S PLUMBING INC,conditional,2026-09-04-expansion-20,17,786183,active,Corporation,A - GENERAL ENGINEERING; C36 - PLUMBING; B - GENERAL BUILDING; C16 - FIRE PROTECTION,10/20/2000,10/31/2026,SWISS RE CORPORATE SOLUTIONS AMERICA INSURANCE CORPORATION,"$25,000",,insured,"300 SHAW ROAD / SOUTH SAN FRANCISCO, CA 94080",(415) 758-6237,(415) 758-6237,,https://www.smellymelsplumbing.com/,advertised,no-evidence,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=786183,data/raw/cslb-786183.txt
52,Madden Plumbing LLC,MADDEN PLUMBING LLC,conditional,2026-09-04-expansion-50,0,825418,active,Ltd Liability,C36 - PLUMBING ; C16 - FIRE PROTECTION,10/03/2003,08/31/2028,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"1228 FOLSOM STREET SUITE 101 / SAN FRANCISCO, CA 94103",(415) 923-8510,(415) 923-8510,1333,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=825418,data/raw/cslb-825418.txt
53,Demakas Plumbing & Heating,DEMAKAS PLUMBING & HEATING INC,conditional,2026-09-04-expansion-50,0,349523,active,Corporation,"C31 - CONSTRUCTION ZONE TRAFFIC CONTROL ; C36 - PLUMBING ; C20 - WARM-AIR HEATING, VENTILATING AND AIR-CONDITIONING ; C-4 - BOILER, HOT WATER HEATING AND STEAM FITTING ; C-61 / D16 - HARDWARE, LOCKS AND SAFES ; C16 - FIRE PROTECTION",01/13/1978,11/30/2026,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"2370 OAKDALE AVENUE / SAN FRANCISCO, CA 94124",(415) 282-2121,(415) 282-2121,1192,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=349523,data/raw/cslb-349523.txt
54,North South Plumbing Inc.,NORTH SOUTH PLUMBING INC,conditional,2026-09-04-expansion-50,0,895742,active,Corporation,C36 - PLUMBING,05/03/2007,02/28/2027,MERCHANTS BONDING COMPANY (MUTUAL),"$25,000",,insured,"2020 A 1 OCEAN AVE / SAN FRANCISCO, CA 94127",(415) 795-3272,(415) 795-3272,921,,unknown,unknown,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=895742,data/raw/cslb-895742.txt
55,Fault Line Plumbing Inc.,FAULT LINE PLUMBING INC,conditional,2026-09-04-expansion-50,0,737079,active,Corporation,"C36 - PLUMBING ; C-4 - BOILER, HOT WATER HEATING AND STEAM FITTING ; C16 - FIRE PROTECTION ; C20 - WARM-AIR HEATING, VENTILATING AND AIR-CONDITIONING",06/12/1997,12/31/2026,WESTERN SURETY COMPANY,"$25,000",,insured,"7640 NATIONAL DRIVE / LIVERMORE, CA 94550",(925) 443-6450,(925) 443-6450,826,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=737079,data/raw/cslb-737079.txt
56,Feerick Plumbing Inc.,FEERICK PLUMBING INC,conditional,2026-09-04-expansion-50,0,751576,active,Corporation,C36 - PLUMBING,07/09/1998,11/30/2027,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"1527 FULTON STREET / SAN FRANCISCO, CA 94117",(415) 775-9065,(415) 775-9065,731,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=751576,data/raw/cslb-751576.txt
57,Precision Rooter & Drain,PRECISION ROOTER & DRAIN,conditional,,0,961218,active,Sole Ownership,C36 - PLUMBING,05/19/2011,05/31/2027,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,exempt,"945 TARAVAL ST / UNIT 1214 / SAN FRANCISCO, CA 94116",(415) 724-1824,(415) 724-1824,18,,unknown,no-evidence,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=961218,data/raw/cslb-961218.txt
58,Repipe Specialists,,fallback-only,,50,,unverified,,,,,,,,,,,,,https://san-francisco.repipe.com/,no,advertised,documented,documented,unknown,unknown,3,Earlier license attribution was wrong and is withdrawn; License NOT verified - do not treat as a verified entry,,
59,ARB Inc,ARB INC,wrong-scale,,0,194079,active,Corporation,"A - GENERAL ENGINEERING ; C-4 - BOILER, HOT WATER HEATING AND STEAM FITTING ; C16 - FIRE PROTECTION ; B - GENERAL BUILDING ; C36 - PLUMBING ; C51 - STEEL, STRUCTURAL",07/21/1960,03/31/2027,WESTERN SURETY COMPANY,"$25,000",,insured,"7515 IRVINE CENTER DRIVE / SUITE #200 / IRVINE, CA 92618",(949) 454-7106,(949) 454-7106,12829,,no,no,no,no,unknown,no,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=194079,data/raw/cslb-194079.txt
60,Crusader Plumbing,,unverified,,0,,unverified,,,,,,,,,,,,,,unknown,unknown,unknown,unknown,unknown,unknown,1,NO VERIFIABLE CSLB LICENSE,,
61,Kenneth Asire Plumbing,KENNETH ASIRE PLUMBING,do-not-hire,2026-09-04-expansion-20,42,1027286,suspended,Sole Ownership,C36 - PLUMBING,05/25/2017,05/31/2027,NORTH RIVER INSURANCE COMPANY (THE),"$25,000",08/16/2026,insured,"1559 SLOAT BLVD #319 / SAN FRANCISCO, CA 94132",(415) 913-8048,(415) 913-8048,,https://kennethasireplumbing.com/,documented-adjacent,advertised,unknown,unknown,unknown,advertised,2,LICENSE SUSPENDED — do not book; High ratings do not cure suspension,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=1027286,data/raw/cslb-1027286.txt
62,Heise's Plumbing Heating & Air Conditioning,HEISE'S PLUMBING INC,do-not-hire,2026-09-04-expansion-50,33,787733,expired,Corporation,C36 - PLUMBING,11/22/2000,03/31/2023,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$15,000",05/06/2022,insured,"260 OCEAN AVENUE / SAN FRANCISCO, CA 94112",(415) 333-0704,(415) 333-0704,1103,https://www.heisesplumbing.com,advertised,advertised,unknown,unknown,unknown,unknown,2,LICENSE EXPIRED AND ENTITY CANCELED — do not book,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=787733,data/raw/cslb-787733.txt
63,Bright Ideas Plumbing and Rooter,BRIGHT IDEAS PLUMBING AND ROOTER,do-not-hire,,33,1018638,expired,Sole Ownership,C36 - PLUMBING,09/23/2016,09/30/2024,WESTERN SURETY COMPANY,"$25,000",03/27/2025,exempt,"3 CONCORD STREET / SAN FRANCISCO, CA 94112",(415) 298-1428,(415) 298-1428,46,,advertised,advertised,unknown,unknown,unknown,advertised,3,LICENSE EXPIRED 09/30/2024 - cannot lawfully contract; Platform trust badges are stale and misleading,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=1018638,data/raw/cslb-1018638.txt
64,ACE Plumbing and Rooter,ACE PLUMBING & ROOTER,do-not-hire,,17,829071,suspended,Corporation,"C36 - PLUMBING ; A - GENERAL ENGINEERING ; C-4 - BOILER, HOT WATER HEATING AND STEAM FITTING ; C16 - FIRE PROTECTION ; B - GENERAL BUILDING ; C10 - ELECTRICAL",12/18/2003,06/30/2027,HUDSON INSURANCE COMPANY,"$25,000",09/01/2026,insured,"1090 BRYANT STREET / SAN FRANCISCO, CA 94103-4417",(415) 824-6444,(415) 824-6444,3172,https://www.aceplumbingandrooter.com/,advertised,unknown,unknown,unknown,advertised,advertised,4,LICENSE SUSPENDED; Review volume does not equal licensure,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=829071,data/raw/cslb-829071.txt
65,Servadei Service Inc,SERVADEI SERVICE INC,do-not-hire,,0,168371,canceled,Corporation,"C-4 - BOILER, HOT WATER HEATING AND STEAM FITTING ; C20 - WARM-AIR HEATING, VENTILATING AND AIR-CONDITIONING ; C36 - PLUMBING ; C38 - REFRIGERATION ; C42 - SANITATION SYSTEM ; C16 - FIRE PROTECTION",06/12/1957,11/30/2002,FRONTIER PACIFIC INSURANCE COMPANY,"$7,500",01/30/2002,insured,"45 29TH STREET / SAN FRANCISCO, CA 94110",(415) 567-5025,(415) 567-5025,1586,,unknown,unknown,unknown,unknown,unknown,unknown,3,"LICENSE CANCELED 11/30/2002 - dissolved corporation; 1,525 SF permits make it look active in open data",https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=168371,data/raw/cslb-168371.txt
66,O'Grady Plumbing Heating Draining,O'GRADY PLUMBING,do-not-hire,2026-09-04-expansion-50,0,746040,expired,Corporation,"C20 - WARM-AIR HEATING, VENTILATING AND AIR-CONDITIONING ; C36 - PLUMBING ; A - GENERAL ENGINEERING",02/19/1998,05/31/2024,WESTERN SURETY COMPANY,"$25,000",04/02/2026,insured,"1610 EVANS AVENUE / SAN FRANCISCO, CA 94124",(415) 647-9200,(415) 647-9200,1292,,unknown,unknown,unknown,unknown,unknown,unknown,2,LICENSE EXPIRED — do not book,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=746040,data/raw/cslb-746040.txt
67,Strong Plumbing (Plugbusters),STRONG PLUMBING AND HEATING INC,do-not-hire,2026-09-04-expansion-50,0,712335,expired,Corporation,"C20 - WARM-AIR HEATING, VENTILATING AND AIR-CONDITIONING ; C36 - PLUMBING",09/08/1995,09/30/2001,FRONTIER PACIFIC INSURANCE COMPANY,"$7,500",09/05/2001,insured,"dba PLUGBUSTERS / 375 RHODE ISLAND STREET / SAN FRANCISCO, CA 94103",(415) 865-1500,(415) 865-1500,1166,,unknown,unknown,unknown,unknown,unknown,unknown,2,BOTH PLUGBUSTERS LICENSES EXPIRED — do not book,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=712335,data/raw/cslb-712335.txt
68,Fireman Plumbing,FIREMAN PLUMBING,do-not-hire,2026-09-04-expansion-50,0,707695,expired,Sole Ownership,C36 - PLUMBING,06/05/1995,06/30/2025,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",04/02/2025,exempt,"P O BOX 1487 / BURLINGAME, CA 94011",(650) 756-5100,(650) 756-5100,1120,,unknown,unknown,unknown,unknown,unknown,unknown,2,LICENSE EXPIRED — do not book,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=707695,data/raw/cslb-707695.txt
69,Fast Response Plumbing (Joseph Tinsley),JOSEPH TINSLEY,do-not-hire,,0,1024971,suspended,Sole Ownership,C36 - PLUMBING,03/20/2017,03/31/2027,HUDSON INSURANCE COMPANY,"$25,000",09/01/2026,insured,"dba FAST RESPONSE PLUMBING AND ROOTER / 236 W POTRAL AVE #459 / SAN FRANCISCO, CA 94127",(415) 596-6115,(415) 596-6115,940,,unknown,unknown,unknown,unknown,unknown,unknown,2,LICENSE SUSPENDED,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=1024971,data/raw/cslb-1024971.txt
70,Chen's Plumbing Inc.,CHEN'S PLUMBING INC,do-not-hire,2026-09-04-expansion-50,0,665412,canceled,Corporation,C16 - FIRE PROTECTION ; C36 - PLUMBING,03/02/1993,02/16/2015,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$12,500",04/04/2015,insured,"148 21ST AVE / SAN FRANCISCO, CA 94121-1206",(415) 831-2661,(415) 831-2661,831,,unknown,unknown,unknown,unknown,unknown,unknown,2,LICENSE CANCELED — do not book,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=665412,data/raw/cslb-665412.txt
71,Chung Wah Plumbing Co Inc.,CHUNG WAH PLUMBING CO INC,do-not-hire,2026-09-04-expansion-50,0,500445,canceled,Corporation,C36 - PLUMBING ; C16 - FIRE PROTECTION,10/24/1986,10/31/2006,SURETY COMPANY OF THE PACIFIC,"$12,500",07/01/2008,insured,"193 23RD AVENUE / SAN FRANCISCO, CA 94121",(415) 559-3853,(415) 559-3853,762,,unknown,unknown,unknown,unknown,unknown,unknown,1,LICENSE CANCELED — do not book this number,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=500445,data/raw/cslb-500445.txt
72,Shing Plumbing LLC,SHING PLUMBING LLC,do-not-hire,2026-09-04-expansion-50,0,562479,canceled,Ltd Liability,C36 - PLUMBING,03/28/1989,08/05/2017,OLD REPUBLIC SURETY COMPANY,"$15,000",08/11/2017,insured,"2965 19TH AVENUE / SAN FRANCISCO, CA 94132",(415) 559-2096,(415) 559-2096,719,,unknown,unknown,unknown,unknown,unknown,unknown,2,LICENSE CANCELED — do not book,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=562479,data/raw/cslb-562479.txt
73,Stan Plumbing,STAN PLUMBING,do-not-hire,2026-09-04-expansion-50,0,410861,suspended,Sole Ownership,C36 - PLUMBING,08/25/1981,08/31/2027,HUDSON INSURANCE COMPANY,"$25,000",09/01/2026,insured,"1429 9TH AVE APT 3 / SAN FRANCISCO, CA 94122",(415) 724-0724,(415) 724-0724,697,,unknown,unknown,unknown,unknown,unknown,unknown,2,LICENSE UNDER SUSPENSION — do not book,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=410861,data/raw/cslb-410861.txt
74,Gateway Plumbing,GATEWAY PLUMBING,do-not-hire,,0,846292,suspended,Sole Ownership,C36 - PLUMBING,09/11/2004,09/30/2026,HUDSON INSURANCE COMPANY,"$25,000",09/01/2026,insured,"121 FRANCISCO DRIVE / SOUTH SAN FRANCISCO, CA 94080",(415) 336-9155,(415) 336-9155,639,,unknown,unknown,unknown,unknown,unknown,unknown,2,LICENSE SUSPENDED,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=846292,data/raw/cslb-846292.txt
75,American Alliance Plumbing & Drain Cleaning (Drain Patrol),AMERICAN ALLIANCE ALWAYS AVAILABLE,do-not-hire,2026-09-04-expansion-50,0,422136,canceled,Corporation,C36 - PLUMBING,05/10/1982,04/13/2012,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$12,500",08/27/2012,insured,"dba DRAIN PATROL / PO BOX 8730 / TRUCKEE, CA 96162",(530) 888-8114,(530) 888-8114,381,,unknown,unknown,unknown,unknown,unknown,unknown,2,LICENSE CANCELED — do not book,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=422136,data/raw/cslb-422136.txt
76,Mr. Rooter of San Francisco (SFGDL Industries Inc),SFGDL INDUSTRIES INC,do-not-hire,,0,974194,expired,Corporation,C36 - PLUMBING,06/22/2012,08/31/2021,HUDSON INSURANCE COMPANY,"$15,000",09/11/2021,exempt,"dba MR ROOTER OF SAN FRANCISCO / 3801 GODDING HOLLOW PARKWAY / FREDERICK, CO 80516",(720) 526-6309,(720) 526-6309,72,,unknown,unknown,unknown,unknown,unknown,unknown,2,LICENSE EXPIRED 08/31/2021,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=974194,data/raw/cslb-974194.txt
77,Aqua Stat Plumbing Inc.,AQUA STAT PLUMBING INC,do-not-hire,2026-09-04-expansion-20,0,1042922,suspended,Corporation,C36 - PLUMBING; C42 - SANITATION SYSTEM,08/09/2018,08/31/2028,NORTH RIVER INSURANCE COMPANY (THE),"$25,000",08/15/2026,exempt,"1843 EGRET LANE / HAYWARD, CA 94545",(510) 755-7437,(510) 755-7437,,,unknown,unknown,unknown,unknown,unknown,unknown,2,LICENSE SUSPENDED — do not book; Platform listing conflicts with current license status,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=1042922,data/raw/cslb-1042922.txt
78,Eric Brand Plumbing (Rayna Brand),RAYNA BRAND,do-not-hire,,0,920294,canceled,Sole Ownership,C36 - PLUMBING,08/04/2008,08/31/2024,HUDSON INSURANCE COMPANY,"$25,000",12/05/2024,insured,"DBA ERIC BRAND PLUMBING / 174 BYXBEE STREET / SAN FRANCISCO, CA 94132",(415) 572-5991,(415) 572-5991,,,unknown,unknown,unknown,unknown,unknown,unknown,3,LICENSE CANCELED,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=920294,data/raw/cslb-920294.txt
79,Plumbing Pure Inc.,PLUMBING PURE INC,do-not-hire,2026-09-04-expansion-20,0,1017368,expired,Corporation,C36 - PLUMBING,08/18/2016,08/31/2024,WESTERN SURETY COMPANY,"$25,000",,insured,"319 27TH AVE 1 / SAN FRANCISCO, CA 94121",(415) 359-6095,(415) 359-6095,,,unknown,unknown,unknown,unknown,unknown,unknown,2,LICENSE EXPIRED — do not book; Live-looking Yelp listing conflicts with CSLB,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=1017368,data/raw/cslb-1017368.txt
80,Discount Plumbing Inc (prior entity),DISCOUNT PLUMBING INC,historical,,0,755272,canceled,Corporation,C36 - PLUMBING ; A - GENERAL ENGINEERING,10/15/1998,09/13/2025,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"1325 HOWARD AVE BLDG 710 / BURLINGAME, CA 94010",(650) 991-2100,(650) 991-2100,2623,,unknown,unknown,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=755272,data/raw/cslb-755272.txt
